,Hotel,Ubicacion,Direccion,Estrellas,Longitud,Latitud
148,Posada El Solar,"Cusco a 0,23 km del centro","Plaza San Francisco 162, Cusco 001, Cusco (Peru)",-1,-71.98147,-13.51851
149,Hotel Tupac Yupanqui,"Cusco a 0,2 km del centro","San Agustin 236, Cusco Cusc 01, Cusco (Peru)",3,-71.97598,-13.51721
150,Hotel Monasterio San Pedro,"Cusco a 0,55 km del centro","Calle Cascaparo 116, Cusco 84, Cusco (Peru)",3,-71.98329,-13.52065
151,Hotel Esplendor Cusco,"Cusco a 0,44 km del centro","C/ Union 189. Centro de Cusco, Cusco 84, Cusco (Peru)",4,-71.9837,-13.51948
152,Chaski Hotel,"Cusco a 1,17 km del centro","Av. Infancia N°443 Wanchaq, Cusco , Cusco (Peru)",3,-71.96856,-13.52548
153,Hotel Tierra Del Inka,"Cusco a 0,37 km del centro","Calle Choquechaka 379, Cusco , Cusco (Peru)",2,-71.89005,-13.5444
154,Posada Inn,"Cusco a 0,37 km del centro","Calle Quera 253, Cusco 084, Cusco (Peru)",-1,-71.97937,-13.51964
155,Posada Hostal El Grial,"Cusco a 0,38 km del centro","Calle Carmen Alto 112, Cusco 0084, Cusco (Peru)",-1,-71.97491,-13.51486
156,Hotel Mamasara,"Cusco a 0,68 km del centro","CALLE SAPHY N° 875, Cusco 84, Cusco (Peru)",3,-71.98279,-13.51325
157,Hostal Teatro Inka,"Cusco a 0,19 km del centro","Calle Teatro 391, Cusco CUSC 01, Cusco (Peru)",-1,-71.982,-13.51668
158,Inka Club Hostel,"Cusco a 0,19 km del centro","Calle Siete Cuartones 284, Cusco CUSC 01, Cusco (Peru)",-1,-71.98208,-13.51613
159,Hotel The Garden House Cusco,"Cusco a 5,09 km del centro","Los Alamos B-6, Larapa, Cusco , Cusco (Peru)",3,-71.97574,-13.53408
160,Hotel El BalcÃ³n,"Cusco a 0,29 km del centro","Calle Tambo de Montero 222, Cusco Cusco, Cusco (Peru)",3,-71.98284,-13.51508
161,Hotel Royal Qosqo,"Cusco a 0,16 km del centro","Calle Tecsecocha N° 2, Cusco 08002, Cusco (Peru)",3,-71.98078,-13.51458
162,Hostal CÃ¡ceres,"Cusco a 0,14 km del centro","Calle Plateros 368, Cusco 084, Cusco (Peru)",-1,-71.98046,-13.51572
163,Hostal Cusco Viewpoint,"Cusco a 0,41 km del centro","Pasñapakana 133, Cusco CUSC 01, Cusco (Peru)",-1,-71.97437,-13.51445
164,Hotel Royal Inn Cusco,"Cusco a 1,94 km del centro","Av. 28 De Julio M2 - 1, Cusco 0000, Cusco (Peru)",2,-71.96201,-13.53253
165,Euro Hostal,"Cusco a 0,29 km del centro","Kiskapata 445, Cusco 08001, Cusco (Peru)",-1,-71.97852,-13.51643
166,Hotel Choquequiraw Inn,"Cusco a 0,28 km del centro","AV. Tullumayo 278, Cusco 084, Cusco (Peru)",-1,-71.97515,-13.51651
167,Hotel Carlos V,"Cusco a 0,27 km del centro","Calle Tecsecocha 490, Cusco , Cusco (Peru)",-1,-71.9809,-13.51445
168,Hostal Quechua,"Cusco a 0,59 km del centro","C/ Chaparro, 173 Interior D - 084, Cusco 084, Cusco (Peru)",-1,-71.98395,-13.51989
169,Hostal Tika Wasi,"Cusco a 0,43 km del centro","C/ Tandapata, 491 - esquina  con calle 7 angelitos, Cusco 01-CUZ, Cusco (Peru)",-1,-77.03196,38.89037
170,Hostal Tu Hogar,"Cusco a 0,29 km del centro","Calle Chihuampata 548, San Blas, Cusco 5184, Cusco (Peru)",-1,-71.97435,-13.51657
171,Peruvian Inn Hostal,"Cusco a 2,16 km del centro","Av. Simon Herrera Farfan C 6, Cusco , Cusco (Peru)",-1,-71.97771,-13.5277
172,Hotel Waman Qorikancha,"Cusco a 0,47 km del centro","Calle Awaqpinta 539, Al costado del templo del Qorikancha - Plazoleta Santo Domingo, Cusco , Cusco (Peru)",-1,-71.97489,-13.5203
173,Hotel De La Villa Hermoza,"Cusco a 0,83 km del centro","Av. Pardo 1041 - 1079, Cusco 0000, Cusco (Peru)",3,-71.97336,-13.52523
174,Cuscopackers Hostels,"Cusco a 0,5 km del centro","Av. Prolongación Arcopata 129 (Nueva Av. Abancay), Cusco 08002, Cusco (Peru)",-1,-71.97091,-13.51698
